Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T001_002,SE_T002_001,SE_T003_001,SE_NV002_001,SE_T004_001,SE_T004_002,SE_T004_003,SE_NV003_001,SE_NV003_002,SE_NV003_003,SE_T005_001,SE_T006_001,SE_T006_002,SE_T006_003,SE_NV005_001,SE_NV005_002,SE_NV005_003,SE_T007_001,SE_T007_002,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_NV006_001,SE_NV006_002,SE_NV006_003,SE_NV006_004,SE_T009_001,SE_T009_002,SE_NV007_001,SE_NV007_002,SE_T010_001,SE_T010_002,SE_T010_003,SE_NV008_001,SE_NV008_002,SE_NV008_003,SE_T011_001,SE_T011_002,SE_T012_001,SE_T012_002,SE_T012_003,SE_T012_004,SE_T012_005,SE_T013_001
"01001","Autauga County","Autauga County, Alabama ","01","001",4.4,4.3,19.4,8.786701209,407,22,8,18,39.82189,14.44174,32.49391,10165.85,3.859072,17.481181,13.420535469,563,5852,6351,809,9215.1,33,29,809,13,7.054297,50.48834,456.4,7.82402,10.9,83.844011142,"",718,509,231,93,35.183521117,416.11125122,205.40684,18.7,15.1,9.7935303961,70.821498598,30.9,28.7,36.9455593,7.1
"04001","Apache County","Apache County, Arizona","04","001",5.7,5.3,29.5,6.950539675,586,21,74,49,29.19343,103.02389,68.21852,8073,14.622248,28.29382,23.581824524,3327,11779,14874,1099,14319.8,60,66,1099,13,6.976744,73.82881,535,5.991971,16.6,27.980922099,"",1258,1253,602,73,55.224998898,822.46055058,127.80783,25.6,14.6,43.828038654,22.13848262,32.8,21.8,,0.5
"05001","Arkansas County","Arkansas County, Arkansas","05","001",4.6,4.2,21.1,11.42374789,203,10,15,7,53.25664,80.67118,37.64655,8549.44,6.258412,22.561576,17.975850428,279,2519,2769,322,10678,,16,322,,,91.12136,490.6,,13,82.167832168,"",286,272,112,34,65.368901706,592.84353165,214.83635,22.4,13.9,7.9225802145,48.409485252,34,37.1,54.6885035,6
"06001","Alameda County","Alameda County, California","06","001",3.4,3.3,13,7.2431443196,10132,1675,7937,1433,106.08712,492.69952,88.95532,8560.43,5.950529,17.391618,14.415226746,21348,178422,197119,12315,4885.7,619,521,12315,473,4.367028,38.0772,256.3,9.969371,9.1,80.582293523,"",8415,7330,6479,5363,21.839070186,416.73098693,410.9462,10.6,16.3,1.6041283834,99.733160473,20,14.7,42.8335259,7.6
"08001","Adams County","Adams County, Colorado","08","001",3.5,3.3,15.8,8.7224706077,4214,223,1297,266,47.52842,269.80475,55.3339,9336.09,10.6523,25.646917,20.916205147,14374,75008,88148,4159,6480.6,294,220,4159,274,6.032502,42.69871,337.8,19.439393,7.6,84.556213018,"",1690,4783,1982,703,47.497989056,431.2464371,193.61111,18.1,18.5,4.5301659179,94.654474721,25.8,20,44.6999652,8.1
"09001","Fairfield County","Fairfield County, Connecticut ","09","001",2.8,3.2,11.8,7.6307213647,5690,847,2443,853,90.11559,258.39875,90.22273,9006.98,5.980098,16.267712,13.316613421,13960,92568,105291,6679,4426.8,364,317,6679,299,4.762652,35.14186,223.5,10.605932,8.3,84.437963945,"",7544,3367,2755,2679,15.414831568,295.01999818,345.12255,14.2,18.3,2.5639607754,96.789041359,20.8,20.3,29.6633297,8.4
"10001","Kent County","Kent County, Delaware","10","001",3.6,3.8,15.7,8.4769745305,1318,103,274,68,60.79709,159.31437,39.53787,9294.58,4.691021,12.683613,10.355813671,1957,12719,14497,2072,7781.6,102,84,2072,105,6.52299,51.98663,379,20.627508,11.7,85.818891872,"",4097,1357,1172,341,32.341094878,699.17554556,246.52622,18.2,15.3,4.833615551,69.499106648,33.2,28.1,47.0273392,7.7
"11001","District of Columbia County","District of Columbia County, District of Columbia ","11","001",2.8,3.2,12.7,10.214265664,6550,749,2923,771,115.86374,443.62286,117.01445,7970.79,3.059202,8.784689,7.5780314624,3519,37844,40951,7213,7782.4,624,383,7213,275,9.839788,89.67392,394.6,14.19234,8.3,80.261993273,"",5649,6428,6414,15505,44.259913381,1014.3550053,2812.47392,15.8,24.9,0.9529624648,100,22.1,17,58.0949366,8
"12001","Alachua County","Alachua County, Florida ","12","001",4,3.9,16.4,8.7055223807,1764,379,1283,405,149.53581,500.42905,157.96864,9446.64,9.693417,21.93574,19.097182725,4613,36430,40292,2345,6625,164,134,2345,65,8.079614,75.3283,329.8,8.53861,8.4,85.283812193,"",2854,1667,1814,895,19.461339996,721.51047861,408.93161,18.2,20.3,7.1834209083,83.534544102,25.3,19.2,42.313268,6.1
"13001","Appling County","Appling County, Georgia ","13","001",4.3,4.1,19.9,10.652173913,196,9,7,2,48.80694,37.7562,10.78749,9878.49,12.285834,29.226895,24.051211706,588,3134,3682,319,11086.3,,15,319,,,80.51098,514.8,,13,79.139072848,"",302,344,70,20,86.215538847,381.09756098,132.86388,17.9,14.2,5.8405469106,29.315639395,35.2,29.6,61.9354839,6.6
